표본번호		개별치											평균		범위
		x1	x2	x3	x4	x5	x6	x7	x8	x9	x10		(X_bar)		(R)
1		7.69	8.25	8.04	7.96	7.66	7.62	7.91	7.62	7.74	7.84		7.833		0.63
2		8.39	7.87	7.91	7.79	7.82	7.88	8.34	7.78	8.29	8.33		8.040		0.61
3		7.75	8.35	7.7	7.89	7.99	8.28	8.32	7.61	7.81	7.66		7.936		0.74
4		7.98	7.96	7.65	8.41	8.42	8.32	7.91	7.8	8.17	8.41		8.103		0.77
5		8.5	7.69	7.96	8.4	8.4	8.06	8.34	7.97	8.17	8.08		8.157		0.81
6		8.46	7.58	7.61	7.75	8.31	8.07	8.22	7.6	7.76	7.84		7.920		0.88
7		8.45	7.82	7.95	8.4	8.49	7.56	8.17	8.0	7.9	8.14		8.088		0.93
8		8.29	8.09	8.25	7.95	8.32	7.52	8.12	8.24	7.6	7.65		8.003		0.80
9		8.37	8.19	8.21	8.29	8.43	8.46	7.66	7.7	8.24	8.11		8.166		0.80
10		7.75	7.59	7.78	7.87	8.13	8.17	8.49	7.62	7.89	8.2		7.949		0.90
11		7.69	8.37	7.66	8.21	8.32	8.13	8.29	7.75	8.49	7.72		8.063		0.83
12		8.17	8.21	7.86	8.31	7.85	8.14	7.77	7.89	7.52	8.44		8.016		0.92
13		8.43	8.37	8.49	7.52	7.67	7.77	8.39	8.15	7.51	8.29		8.059		0.98
14		7.67	8.43	8.3	8.21	8.01	7.64	7.66	8.1	8.35	8.44		8.081		0.80
15		8.04	8.22	7.84	8.26	8.02	7.68	7.59	7.74	8.43	8.02		7.984		0.84
16		7.91	8.03	8.39	7.9	7.72	7.99	8.01	7.57	7.62	7.72		7.886		0.82
17		7.83	8.11	7.67	7.69	8.45	7.78	8.44	7.65	7.94	7.98		7.954		0.80
18		7.74	8.44	8.26	8.45	8.21	7.6	7.61	8.22	7.74	8.46		8.073		0.86
19		8.04	7.59	8.35	8.34	8.18	7.51	7.81	7.6	7.68	7.56		7.866		0.84
20		7.57	8.47	8.15	7.88	7.95	8.28	7.94	7.57	8.26	7.74		7.981		0.90
21		7.59	8.41	8.05	8.34	7.69	7.75	8.04	7.87	8.3	7.67		7.971		0.82
22		8.2	8.23	7.87	7.91	7.79	7.58	8.48	7.51	8.12	8.09		7.978		0.97
23		8.39	7.61	7.92	8.39	8.02	7.65	8.17	7.69	7.77	8.18		7.979		0.78
24		7.84	7.79	8.37	7.78	7.73	7.97	8.13	7.7	7.75	8.29		7.935		0.67
25		7.62	7.92	8.46	7.68	7.75	8.28	8.11	8.19	8.27	7.82		8.010		0.84
26		8.4	7.66	7.67	8.48	7.57	8.34	8.28	8.25	8.19	7.65		8.049		0.91
27		7.8	8.07	7.79	8.3	8.01	8.27	8.3	7.53	8.38	8.37		8.082		0.85
28		7.6	7.51	7.79	7.69	7.87	7.81	8.4	8.45	7.56	7.54		7.822		0.94
29		8.34	7.92	8.28	7.64	8.17	7.75	8.11	8.04	7.64	7.56		7.945		0.78
30		8.48	8.15	7.95	7.69	7.76	8.29	7.7	8.34	7.89	8.27		8.052		0.79
31		7.82	7.99	7.98	8.05	8.33	7.82	7.79	8.12	8.27	7.98		8.015		0.54
32		8.41	7.53	8.49	8.12	7.77	8.47	8.02	8.43	8.25	8.1		8.159		0.96
33		7.69	8.36	7.83	7.8	8.24	8.45	8.27	8.1	8.4	8.45		8.159		0.76
34		7.57	8.2	8.06	8.37	7.71	8.4	7.81	7.9	7.82	7.9		7.974		0.83
35		8.14	8.31	8.12	8.34	8.38	8.43	8.34	8.25	7.98	7.64		8.193		0.79
36		8.1	8.27	8.02	8.01	8.16	8.15	7.85	7.91	8.14	8.11		8.072		0.42
37		7.88	8.0	8.0	7.96	8.33	7.77	7.67	8.35	7.95	7.98		7.989		0.68
38		8.34	7.83	7.89	8.36	7.64	7.64	8.47	7.88	7.91	7.65		7.961		0.83
39		7.87	7.59	7.86	8.08	7.64	8.32	8.06	7.5	7.8	7.61		7.833		0.82
40		8.25	7.97	7.59	8.22	8.17	8.39	8.48	8.38	8.49	8.18		8.212		0.90
41		8.23	7.64	7.71	8.0	7.52	7.62	7.95	8.16	7.63	7.74		7.820		0.71
42		7.92	8.08	7.63	7.92	8.15	7.82	8.32	8.33	7.66	7.78		7.961		0.70
43		7.55	7.59	8.19	8.0	8.12	7.53	8.03	8.29	8.28	8.47		8.005		0.94
44		7.88	7.71	8.2	8.16	8.05	8.3	8.36	7.79	7.55	7.58		7.958		0.81
45		7.91	8.14	8.05	7.9	8.24	8.48	8.15	7.88	8.46	7.81		8.102		0.67
46		8.06	8.29	8.18	7.76	8.48	7.66	7.67	8.23	8.26	8.05		8.064		0.82
47		8.36	7.77	7.61	7.72	7.89	8.25	7.68	8.31	7.68	7.83		7.910		0.75
48		8.3	8.49	7.68	7.74	8.47	8.27	8.03	8.25	7.67	7.54		8.044		0.95
49		8.0	7.95	8.28	7.59	7.72	7.96	8.2	8.41	8.28	7.73		8.012		0.82
50		8.35	7.59	8.37	8.15	7.88	8.09	8.01	8.08	7.51	8.19		8.022		0.86
51		7.51	8.2	8.14	7.65	8.01	8.31	8.42	7.87	8.32	7.73		8.016		0.91
52		7.55	8.07	7.77	8.38	8.4	7.61	7.72	7.73	7.77	7.6		7.860		0.85
53		8.27	8.08	8.15	8.0	7.71	8.13	7.53	7.71	8.39	7.88		7.985		0.86
54		7.91	7.55	7.93	7.63	7.66	7.72	8.47	7.58	8.38	7.93		7.876		0.92
55		7.93	7.52	7.63	7.91	8.12	7.93	7.63	8.22	7.55	8.02		7.846		0.70
56		8.44	7.93	7.96	8.04	7.57	8.43	7.6	8.0	8.24	7.6		7.981		0.87
57		7.5	8.05	8.35	8.22	7.51	7.64	8.12	8.1	7.54	7.67		7.870		0.85
58		7.67	7.92	7.82	7.79	7.63	7.74	7.63	8.0	7.82	7.94		7.796		0.37
59		8.48	8.26	7.51	7.67	8.03	8.11	7.64	8.29	8.0	7.52		7.951		0.97
60		7.66	8.47	8.34	8.4	8.35	7.62	7.52	8.41	7.75	8.24		8.076		0.95
61		7.54	7.61	7.82	7.72	8.16	8.21	7.86	7.54	7.52	7.76		7.774		0.69
62		7.92	7.81	7.7	7.72	8.05	8.31	8.06	8.0	7.8	8.3		7.967		0.61
63		7.82	8.06	7.54	8.16	8.19	8.41	8.18	8.26	8.19	8.14		8.095		0.87
64		8.09	8.34	8.27	7.72	7.83	7.58	7.55	7.96	8.18	8.31		7.983		0.79
65		7.81	7.84	8.21	8.07	7.63	7.57	8.04	8.27	7.94	8.18		7.956		0.70
66		8.38	8.21	8.01	8.03	8.13	8.47	8.3	7.7	7.86	8.33		8.142		0.77
67		7.72	8.16	7.91	8.32	8.03	7.77	7.76	7.57	7.91	7.54		7.869		0.78
68		8.08	8.15	7.66	8.15	8.02	8.18	8.07	7.98	7.93	7.83		8.005		0.52
69		7.54	7.52	7.98	8.34	7.82	8.04	8.08	8.35	8.34	7.99		8.000		0.83
70		8.27	8.03	8.28	8.02	7.54	7.64	8.48	7.79	8.14	8.16		8.035		0.94
71		8.1	8.35	8.0	7.73	8.17	8.37	7.82	8.16	8.49	7.57		8.076		0.92
72		8.11	7.89	8.01	8.11	8.13	8.34	8.29	7.52	8.03	8.01		8.044		0.82
73		8.39	8.09	8.09	7.97	8.24	7.59	7.51	8.35	8.18	7.57		7.998		0.88
74		7.75	8.04	7.87	8.41	8.13	8.44	7.52	7.78	8.47	8.37		8.078		0.95
75		8.1	7.72	8.39	8.24	8.21	8.37	7.68	7.88	7.92	7.63		8.014		0.76
76		7.81	8.37	8.24	7.78	8.44	7.56	8.43	8.38	8.24	8.49		8.174		0.93
77		8.28	8.24	8.4	7.52	7.78	7.71	7.72	8.26	8.45	7.74		8.010		0.93
78		8.31	7.59	7.64	8.14	8.35	8.18	7.53	8.01	7.91	8.41		8.007		0.88
79		7.84	7.71	8.46	8.37	8.48	7.56	8.01	7.82	7.64	8.39		8.028		0.92
80		8.05	7.51	7.77	7.78	8.31	7.85	7.97	8.36	7.57	8.21		7.938		0.85
81		8.34	8.47	7.76	8.47	8.02	8.31	8.11	8.23	7.89	7.63		8.123		0.84
82		7.51	8.39	7.68	8.41	8.0	8.12	8.26	7.52	8.29	7.6		7.978		0.90
83		7.71	8.28	8.2	7.8	7.8	7.81	8.1	7.74	8.18	7.62		7.924		0.66
84		7.61	7.8	8.3	8.14	7.71	7.99	7.61	7.66	8.21	8.31		7.934		0.70
85		7.63	8.01	7.89	7.58	7.68	7.75	7.87	7.77	8.22	7.55		7.795		0.67
86		8.39	7.76	8.26	8.35	8.42	8.12	7.69	8.15	7.94	8.03		8.111		0.73
87		8.02	7.66	8.19	8.05	7.51	7.57	8.03	7.68	8.1	7.65		7.846		0.68
88		7.62	7.84	7.59	8.32	7.63	8.18	8.36	7.7	7.74	8.05		7.903		0.77
89		7.62	7.84	7.87	7.81	8.3	8.4	7.62	7.76	8.02	7.76		7.900		0.78
90		8.0	7.59	7.52	7.95	8.35	7.64	7.77	7.86	8.45	8.45		7.958		0.93
91		8.15	7.84	7.84	7.98	8.13	7.91	7.74	8.27	8.0	8.4		8.026		0.66
92		7.65	7.51	7.6	7.72	8.3	8.31	7.77	8.12	7.9	7.71		7.859		0.80
93		7.79	8.4	8.13	8.38	7.71	7.81	7.99	7.78	8.02	7.83		7.984		0.69
94		8.05	7.83	8.18	7.65	7.83	8.02	7.59	7.69	8.47	8.37		7.968		0.88
95		8.21	7.81	7.92	8.24	7.71	8.39	8.46	8.21	7.59	8.42		8.096		0.87
96		7.95	7.64	7.53	8.24	7.86	8.28	8.39	8.45	7.69	8.43		8.046		0.92
97		7.85	8.2	7.8	7.75	8.09	7.68	7.68	8.32	8.15	7.67		7.919		0.65
98		7.67	7.86	8.48	7.9	8.25	7.74	7.76	8.09	7.71	7.9		7.936		0.81
99		8.0	7.59	8.01	7.97	7.54	7.56	8.36	8.31	7.59	8.07		7.900		0.82
100		7.68	7.82	8.29	7.97	8.43	7.93	8.34	7.64	7.8	8.13		8.003		0.79
합계:													799.105		80.51


UCL_X_bar	LCL_X_bar	Items (X_bar)
8.239		7.743		7.833, 8.04, 7.936, 8.103, 8.157, 7.92, 8.088, 8.003, 8.166, 7.949, 8.063, 8.016, 8.059, 8.081, 7.984, 7.886, 7.954, 8.073, 7.866, 7.981, 7.971, 7.978, 7.979, 7.935, 8.01, 8.049, 8.082, 7.822, 7.945, 8.052, 8.015, 8.159, 8.159, 7.974, 8.193, 8.072, 7.989, 7.961, 7.833, 8.212, 7.82, 7.961, 8.005, 7.958, 8.102, 8.064, 7.91, 8.044, 8.012, 8.022, 8.016, 7.86, 7.985, 7.876, 7.846, 7.981, 7.87, 7.796, 7.951, 8.076, 7.774, 7.967, 8.095, 7.983, 7.956, 8.142, 7.869, 8.005, 8.0, 8.035, 8.076, 8.044, 7.998, 8.078, 8.014, 8.174, 8.01, 8.007, 8.028, 7.938, 8.123, 7.978, 7.924, 7.934, 7.795, 8.111, 7.846, 7.903, 7.9, 7.958, 8.026, 7.859, 7.984, 7.968, 8.096, 8.046, 7.919, 7.936, 7.9, 8.003
[X_bar] well managed within the control limit range.

UCL_R	LCL_R	Items (R)
1.431	0.180	0.63, 0.61, 0.74, 0.77, 0.81, 0.88, 0.93, 0.8, 0.8, 0.9, 0.83, 0.92, 0.98, 0.8, 0.84, 0.82, 0.8, 0.86, 0.84, 0.9, 0.82, 0.97, 0.78, 0.67, 0.84, 0.91, 0.85, 0.94, 0.78, 0.79, 0.54, 0.96, 0.76, 0.83, 0.79, 0.42, 0.68, 0.83, 0.82, 0.9, 0.71, 0.7, 0.94, 0.81, 0.67, 0.82, 0.75, 0.95, 0.82, 0.86, 0.91, 0.85, 0.86, 0.92, 0.7, 0.87, 0.85, 0.37, 0.97, 0.95, 0.69, 0.61, 0.87, 0.79, 0.7, 0.77, 0.78, 0.52, 0.83, 0.94, 0.92, 0.82, 0.88, 0.95, 0.76, 0.93, 0.93, 0.88, 0.92, 0.85, 0.84, 0.9, 0.66, 0.7, 0.67, 0.73, 0.68, 0.77, 0.78, 0.93, 0.66, 0.8, 0.69, 0.88, 0.87, 0.92, 0.65, 0.81, 0.82, 0.79
[R] well managed within the control limit range.

